"Name ","Purpose","Quantity","Price in USD","Link","Distributor"
"Raspberry Pi Zero W","The main board","1","0","-","Have it"
"5inch  TFT LCD ","The display","1","28","https://robu.in/product/5-inch-touch-screen-hdmi-interface-display-module-tft-lcd-800x480-raspberry-pi-2-model-b-touch-pen/","Robu"
"HDMI cable mini","For the display","1","1.4","https://robu.in/product/black-1-5m-micro-hdmi-to-hdmi-copper-clad-steel-cable-for-raspberry-pi-4b/?gad_source=1&gad_campaignid=19974686076&gbraid=0AAAAADvLFWftAIRvruJSFgmQVe6kSJY6n&gclid=CjwKCAjwqJXUBhBNEiwA8BgG7vAZiKEPjZxi7mkmSN62yWXGoi-5meo1lzoQMzKaS8axgxA-J9I5pxoC2x8QAvD_BwE","Robu"
"Keyboard wireless","For the control","1","7.8","https://www.amazon.in/COOLCOLD-Wireless-Keyboard-Bluetooth-Smartphone/dp/B0FG85M4LN?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=AENUHAUR7QE6O&th=1","Amazon"
"10000 mAh battery","for the power","1","9","https://www.amazon.in/Portronics-Luxcell-Charging-Detachable-Output/dp/B0FT3NWDLB/ref=sr_1_7?crid=1JBMZM02O5PTL&dib=eyJ2IjoiMSJ9.WivPbOA3PtTKScglY1ynHhW4WJugakMNOxeCH5IsDhlItakKssPwj6ssJkrVB32d1jLxEZ3oOcY-NXvT_-DWZxhy9n9QgZpZe074PkzgSQBwz-jrS2TuyLv_xiPMnayv56DBWIOPTonbWrcrPPPEOxw2rI_vLkH24Ds4XE7_aJcrzz4NvzTlb1KjkBlpJ4wB3TNRuEubgLlHpr67hBAAXuaI8FYZXOAeH9dj5J1ECEh1MJXcwNxwf7Xt7TRVGMY51A_pK0LfZwzi_368xKPLdmfERvLdALEj1C5ZfmS3ye0.Yq8Zks5ZMWgPlPtv-AyC4c9nEW4UvABqODZmNEAItlU&dib_tag=se&keywords=power%2Bbank%2B10000&qid=1787158026&s=electronics&sprefix=power%2Celectronics%2C331&sr=1-7&th=1","Amazon"
"switch & led","For no off","1","2","","Robu"
"Shipping","","","1.6","",""
"Total","","","49.8","",""
"Round Off","","","50","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
